area_id,city_id,grade,fill,label,name,category_i,area,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,averagetemp_mean,tree2013_mean,imperv2021_mean,imperv2013_mean,pop_density_2021,pop_density_2013,house_density_2021,house_density_2013,building_density_2021,white_percent_2021,white_percent_2013,black_percent_2021,black_percent_2013,nonwhite_percent_2021,nonwhite_percent_2013,hispanic_percent_2021,hispanic_percent_2013,holc_area,building_area_2021
6087,128,C,#ffff00,C31,Kelly Butte,3,0.000120649,0.047490139,0.000120719,41.56688907,41.3330965,40.69882592,17.30923695,41.19960383,18.92369478,60.98795181,60.57228916,1131,2904.73,1297,1060.43,16.30736889,46.19,39.26,9.19,13.07,53.81,60.77,3.49,8.17,1048638.274,171005.3116
6088,128,C,#ffff00,C30,Montavilla,3,0.000184098,0.107961381,0.00018421,41.03626775,41.19763774,40.17770933,24.44488712,40.80387161,25.49535193,61.45212766,61.64893617,1237.77,2686.2,3375,1202.13,19.93808904,76.15,74.19,0.72,2.65,23.85,25.81,6.93,4.65,1599664.748,318942.5817
6089,128,C,#ffff00,C25,Mt. Tabor District,3,0.000188495,0.112115726,0.000188421,37.58871256,38.69786005,37.42759089,30.55512322,37.90472116,31.33981842,57.61867704,57.78210117,1599.51,3213.07,4474,1513.33,20.65012278,83.04,78.54,1.45,2.61,16.98,21.48,5.59,7.67,1636140.215,337864.9633
6090,128,C,#ffff00,C14,Pruneville,3,0.000126677,0.065838601,0.000126661,42.00092878,42.07954324,41.60346188,11.14097744,41.89464463,12.31766917,64.81203008,64.31015038,1049.35,2017.77,1599,874.76,13.64326676,62.19,67.33,22.79,5.36,37.85,32.67,12.17,9.82,1099735.923,150039.9056
6092,128,C,#ffff00,C13,Eastern Rose City Park,3,6.02E-05,0.042526854,6.02E-05,37.75605312,38.1034094,37.15661786,25.54201681,37.67202679,26.69747899,53.33613445,53.3907563,930.06,2082.1,921,855.42,17.3209945,86.32,58,3,9.1,13.68,42,2.16,13.42,522552.0461,90511.21117
6093,128,B,#7cb5bd,B24,Rose City Park,2,6.35E-05,0.038246807,6.35E-05,41.20981991,41.84101427,39.82874994,20.33333333,40.95986137,21,57.9469697,57.87121212,1621.16,2690.44,1335,1205.43,20.54159659,61.58,62.28,0,15.65,38.42,37.65,3.92,5.2,550844.0298,113152.1584
6094,128,B,#7cb5bd,B23,Rose City Park,2,4.67E-05,0.041376398,4.67E-05,41.53339247,41.70144512,40.49716274,24.35897436,41.24400011,24.89230769,56.96923077,56.85641026,1308.05,2949.28,1129,1241.41,19.70496713,88.62,84.6,1.1,6.69,11.3,15.4,7.14,5.02,405186.9376,79841.95289
6095,128,B,#7cb5bd,B21,Rose City Park,2,0.000227636,0.141424426,0.000227634,41.40003943,40.96710698,39.83024672,25.54692557,40.73246438,26.21467098,56.36893204,56.29126214,1432.96,3058.77,5432,1347.42,20.29526602,84.78,81.14,0.73,4.12,15.22,18.86,4,5.54,1975638.597,400961.1088
6097,128,B,#7cb5bd,B20,Rose City Park,2,0.000133782,0.08619925,0.000133872,41.28748492,41.8176578,41.00227014,24.78723404,41.36913762,25.68085106,62.20212766,62.22695035,1795.73,3061.44,3413,1547.93,21.39226354,81.48,78.39,3.68,5.09,18.52,21.59,6.23,4.72,1162209.75,248622.9725
6098,128,C,#ffff00,C11,,3,0.000144417,0.076871527,0.000144428,41.51516303,41.92456587,40.84238276,19.38385502,41.42737055,20.26523888,62.89291598,62.90609555,1689.18,3345.66,3072,1548.81,20.29075901,69.47,70.15,8.66,9.96,30.53,29.85,6.99,3.24,1253857.075,254417.1174
6099,128,B,#7cb5bd,B19,Laurelhurst,2,0.000209131,0.088951533,0.000209172,37.79027216,39.24425126,37.98036068,36.8587963,38.3382947,37.24305556,53.17013889,55.07407407,1300.54,2833.99,4700,1204.18,20.7369894,86.52,85.89,1.01,3.59,13.48,14.09,4.27,2.97,1816176.174,376620.2609
6100,128,D,#d9838d,D2,Lower Albina,4,0.000208012,0.061914419,0.00020808,39.43860195,40.99721907,40.14746132,13.53686636,40.19442744,15.13940092,73.51612903,73.54262673,1253.44,1177.59,2878,632.81,23.9133976,76.2,66.71,11.12,16.17,23.8,33.29,4.53,6.96,1806238.034,431932.8827
6101,128,D,#d9838d,D1,Albina,4,0.000145938,0.051653538,0.000145925,39.34329616,40.44171486,39.4117515,22.49019608,39.73225417,23.34150327,62.74346405,62.85457516,2580.49,3752.29,4845,1644,21.76699493,76.16,62.12,6.24,20.71,23.83,37.88,8.02,11.7,1266430.968,275663.9646
