area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,imperv2021_mean,averagetemp_mean,building_area,building_density
6107,128,B,#7cb5bd,B2,Mocks Crest,2,1,6.74E-05,"[[45.56637,-122.70782],[45.57685,-122.69601]]","[45.574,-122.699]",-1,0,0,0.04057581,6.73E-05,38.23478954,39.42404688,38.76194792,24.35820896,56.95149254,38.80692811,114798.25,19.65678733
6109,128,B,#7cb5bd,B7,Peninsula,2,1,8.11E-05,"[[45.56644,-122.6816],[45.57707,-122.66844]]","[45.574,-122.678]",-1,0,0,0.046624438,8.11E-05,38.02329956,41.0599967,39.97961755,20.32102273,63.00284091,39.68763793,126207.8889,17.94278777
6110,128,B,#7cb5bd,B6,Peninsula,2,1,3.13E-05,"[[45.57702,-122.68156],[45.58155,-122.66822]]","[45.579,-122.673]",-1,0,0,0.035368033,3.13E-05,39.30612519,41.33771083,40.4675399,25.16666667,62.88095238,40.37045864,45777.51552,16.85496289
6111,128,C,#ffff00,C5,East Kenton and Upper Piedmont,3,1,0.000141045,"[[45.57,-122.68153],[45.58442,-122.66214]]","[45.573,-122.666]",-1,0,0,0.080853226,0.000140993,39.2135823,41.7608617,40.66236704,20.7662116,63.38054608,40.54560368,235584.0071,19.26151648
6112,128,B,#7cb5bd,B8,Piedmont,2,1,8.97E-05,"[[45.56326,-122.6749],[45.57193,-122.66196]]","[45.567,-122.669]",-1,0,0,0.047271408,8.98E-05,36.1202742,40.53498883,39.40180126,24.60212202,58.36074271,38.6856881,150283.724,19.29417896
6113,128,B,#7cb5bd,B1,,2,1,0.000140675,"[[45.5776,-122.71336],[45.58424,-122.68273]]","[45.581,-122.686]",-1,0,0,0.079830096,0.00014083,38.56028474,40.91681964,39.42517039,24.06779661,58.18305085,39.63409159,237867.7346,19.4718897
6114,128,C,#ffff00,C3,Portsmouth,3,1,0.000326948,"[[45.57191,-122.74128],[45.59127,-122.68878]]","[45.58,-122.729]",-1,0,0,0.180602274,0.000326981,38.3204062,39.82343302,38.66909171,22.57059254,55.68836869,38.93764364,508835.4605,17.94007749
6115,128,C,#ffff00,C2,St. Johns,3,1,0.000256841,"[[45.58178,-122.75662],[45.59719,-122.72789]]","[45.591,-122.737]",-1,0,0,0.115502755,0.000256867,37.6362622,39.38708954,38.29688357,22.57008467,58.31608655,38.44007844,425045.3946,19.07911435
6116,128,C,#ffff00,C1,"Northwest St, Johns",3,1,0.000111475,"[[45.58837,-122.76751],[45.60311,-122.74973]]","[45.599,-122.759]",-1,0,0,0.061320415,0.000111495,36.17336744,38.48622764,38.12505686,25.6172043,56.21290323,37.59488398,176027.9719,18.20610832
6117,128,C,#ffff00,C12,Park Rose,3,1,6.08E-05,"[[45.55259,-122.579],[45.56305,-122.56772]]","[45.56,-122.571]",-1,0,0,0.038729385,6.08E-05,42.03498691,41.08563185,40.84124342,21.46153846,61.18846154,41.32062073,90725.01883,17.18546766
6118,128,C,#ffff00,C15,Rose Park,3,1,0.000111546,"[[45.55349,-122.57619],[45.56103,-122.54751]]","[45.557,-122.555]",-1,0,0,0.069430016,0.000111548,41.3757363,41.88886655,40.95479764,19.22149123,64.08552632,41.40646683,179014.2302,18.49284771
6119,128,B,#7cb5bd,B25,Mayword Park,2,1,5.38E-05,"[[45.5481,-122.56704],[45.55547,-122.55663]]","[45.553,-122.561]",-1,0,0,0.031708435,5.38E-05,38.7357431,38.52439553,38.0483413,37.60986547,49.81165919,38.43615998,56646.74532,12.13764619
6121,128,B,#7cb5bd,B18,Rose City Park,2,1,0.000110237,"[[45.54121,-122.63068],[45.55674,-122.6047]]","[45.553,-122.623]",-1,0,0,0.080405584,0.000110206,40.49175088,40.53846382,39.20363206,27.54625551,59.09251101,40.07794892,202839.7164,21.20613918
6122,128,B,#7cb5bd,B17,Grant HI and Hollywood,2,1,0.00013114,"[[45.53539,-122.63831],[45.54625,-122.6079]]","[45.54,-122.623]",-1,0,0,0.086286413,0.000131135,39.03471304,39.80686512,38.4655771,30.37043796,59.33576642,39.10238509,258647.2578,22.72292375
6123,128,A,#76a865,A3,Dolph Park,1,1,5.81E-05,"[[45.53704,-122.63828],[45.54835,-122.63079]]","[45.54,-122.634]",-1,0,0,0.040746007,5.81E-05,36.90767207,38.67194006,37.4065131,35.14644351,53.66108787,37.66204174,104752.0762,20.75439989
6124,128,A,#76a865,A2,The Alameda,1,1,0.000110173,"[[45.54141,-122.64292],[45.55394,-122.61343]]","[45.551,-122.629]",-1,0,0,0.08039915,0.000110173,38.45290195,39.50333273,38.2414323,34.88043478,51.30869565,38.73255566,169493.3266,17.72554627
6125,128,B,#7cb5bd,B10,Irvington and Alameda,2,1,9.84E-05,"[[45.54296,-122.65029],[45.55425,-122.63067]]","[45.55,-122.648]",-1,0,0,0.084801134,9.83E-05,36.54023492,38.83714436,37.70729886,33.125,55.0075,37.69489271,178698.6806,20.95214429
6126,128,B,#7cb5bd,B11,Irvington,2,1,0.000220645,"[[45.53542,-122.65769],[45.54816,-122.63817]]","[45.542,-122.647]",-1,0,0,0.064025824,0.000220675,36.63136432,37.91637962,36.9762461,35.40131579,52.30372807,37.17466334,444527.9197,23.2067916
6127,128,B,#7cb5bd,B12,Lower Irvington,2,1,5.00E-05,"[[45.53141,-122.65067],[45.53469,-122.63121]]","[45.533,-122.649]",-1,0,0,0.044469767,5.00E-05,40.90981745,42.03669592,40.53333679,23.47979798,67.9040404,41.15995005,108390.2614,24.99415619
6128,128,C,#ffff00,C10,Halladay and West Irvington,3,1,0.00011774,"[[45.52637,-122.66143],[45.54812,-122.65053]]","[45.538,-122.658]",-1,0,0,0.082056467,0.000117755,38.1717698,39.84513473,38.56516763,16.24843424,73.25887265,38.86069072,247566.2462,24.21795792
6129,128,C,#ffff00,C9,,3,1,0.000155724,"[[45.5481,-122.66091],[45.56834,-122.62554]]","[45.56,-122.63]",-1,0,0,0.116508792,0.000155723,39.95272912,40.72964507,39.41444794,28.50980392,59.57466063,40.03227404,280052.7392,20.72361114
6130,128,D,#d9838d,D3,Alberta District,4,1,0.000207945,"[[45.54944,-122.66091],[45.5628,-122.63385]]","[45.555,-122.657]",-1,0,0,0.130132279,0.000208038,39.27237224,41.17607792,39.92959614,24.9503632,62.12348668,40.12601543,411911.008,22.81660687
6131,128,B,#7cb5bd,B9,Alberta,2,1,6.67E-05,"[[45.56459,-122.65306],[45.57062,-122.63468]]","[45.568,-122.638]",-1,0,0,0.04989045,6.67E-05,39.36978581,39.26040917,38.30735126,28.07692308,57.43846154,38.97918208,109338.8792,18.89712473
6132,128,C,#ffff00,C7,Woodlawn,3,1,0.000159874,"[[45.5684,-122.66086],[45.57859,-122.63573]]","[45.572,-122.657]",-1,0,0,0.068556467,0.000159845,39.11599783,40.29420486,38.72797487,26.45156483,58.06259314,39.37939252,264121.4338,19.04655982
6133,128,C,#ffff00,C8,Alberta District,3,1,8.86E-05,"[[45.5628,-122.66086],[45.56844,-122.63483]]","[45.566,-122.658]",-1,0,0,0.081884822,8.86E-05,39.04222556,41.21722562,39.94040526,25.0074813,60.72069825,40.06661881,162158.6267,21.10512414
6134,128,C,#ffff00,C16,Ladds Addition,3,1,9.82E-05,"[[45.50515,-122.65356],[45.51199,-122.6295]]","[45.509,-122.648]",-1,0,0,0.094398241,9.82E-05,37.77698849,39.49967057,38.57765968,28.32273839,57.31295844,38.61810625,201017.4967,23.559438
6135,128,A,#76a865,A11,Council Crest,1,1,7.52E-05,"[[45.49061,-122.71056],[45.50029,-122.69549]]","[45.495,-122.701]",-1,0,0,0.057179067,7.52E-05,28.19812986,30.51113248,29.06768364,55.78980892,22.39490446,29.25898199,70170.85732,10.74701545
